0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.039662355190597282e+03 3.213510087198762771e-02 2.915095633344715713e-06 -3.804886249717469145e-09 2.677291028658642436e+00 -4.576568038616195123e-06 1.082561671582884628e+03 1.039663952755256787e+03
3.000000000000000000e+00 4.914362115201103620e+02 2.061446629399923611e-02 2.920358912407235286e-06 2.642670149107787256e-09 1.503114065410690259e+00 -4.545690215099193621e-06 5.105019125856962887e+02 4.914376012386832144e+02
4.000000000000000000e+00 2.786422012360594636e+02 1.072772063533253099e-02 2.917735919387082615e-06 7.720074808529002921e-10 8.462510021091098622e-01 -4.626553986446906911e-06 2.893664300738300312e+02 2.786438729174940363e+02
5.000000000000000000e+00 1.777068280100670847e+02 4.777781013627068266e-03 2.918680750435136867e-06 2.718990830202753251e-09 4.805282970758005257e-01 -4.645621713540811404e-06 1.845698521566053216e+02 1.777084187904304144e+02
6.000000000000000000e+00 1.230049000879542831e+02 1.910609155400681001e-03 2.917977518606446186e-06 2.960914682815062743e-09 2.764518961881896053e-01 -4.682854118063688715e-06 1.277705167939633384e+02 1.230064805596609006e+02
7.000000000000000000e+00 9.037730142968541713e+01 7.745269316314627207e-04 2.918300676547884617e-06 4.426556469360372103e-09 1.628504429572775747e-01 -4.698679062791518484e-06 9.387825110067389289e+01 9.037884169607748674e+01
8.000000000000000000e+00 6.941289930464392910e+01 3.882928393865647462e-04 2.917942491680096437e-06 5.336671171618287856e-09 1.000953932755327125e-01 -4.721703905059765075e-06 7.209309297622864676e+01 6.941445746972040354e+01
9.000000000000000000e+00 5.519379501010173072e+01 2.491669413133211193e-04 2.918154507421144469e-06 6.982428289266403585e-09 6.562683449562364824e-02 -4.735322391042694502e-06 5.731126808933765204e+01 5.519534382806200057e+01
1.000000000000000000e+01 4.510273734038993609e+01 1.740302145515390910e-04 2.917978214086785951e-06 8.363123458420399847e-09 4.699525685091186095e-02 -4.752878730911438347e-06 4.681772479655260355e+01 4.510429877292806822e+01
1.100000000000000000e+01 3.765728612071889359e+01 1.224542240866494135e-04 2.918036396481497307e-06 1.014165838152464910e-08 3.703954439498289425e-02 -4.765155318577307631e-06 3.907447628617264002e+01 3.765884644965959893e+01
1.200000000000000000e+01 3.205248784653304739e+01 9.098282976545543285e-05 2.917870611841171328e-06 1.184286855790190504e-08 3.172513940238193969e-02 -4.779467286815967865e-06 3.324319168434567473e+01 3.205405736120791005e+01
1.300000000000000000e+01 2.768124927565938975e+01 7.517365968786438686e-05 2.917858422589252654e-06 1.385069238311280237e-08 2.858640664126421010e-02 -4.789973459054737232e-06 2.869568503600827469e+01 2.768281550792826806e+01
1.400000000000000000e+01 2.420491203118871937e+01 6.782560046336562982e-05 2.917694172574186763e-06 1.584996442099389181e-08 2.629154389028597050e-02 -4.801179569905699065e-06 2.507948949716871567e+01 2.420647957425627084e+01
1.500000000000000000e+01 2.137057516641430155e+01 6.403453775150698326e-05 2.917623790263181534e-06 1.808664323375139149e-08 2.441781692418349553e-02 -4.809145563303019729e-06 2.213231688620441773e+01 2.137213608451760294e+01
1.600000000000000000e+01 1.906773069016149336e+01 6.226251543219142928e-05 2.917441411086327256e-06 2.034785619219665118e-08 2.289719850261801026e-02 -4.816929593467245060e-06 1.973713057168522766e+01 1.906928962959461771e+01
