0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.928001051206290413e+02 3.068399953337272099e-02 0.000000000000000000e+00 2.556631123653700488e+00 4.839208591407286353e-08 2.943439442149416857e-03 -1.197928365216703851e-05
3.000000000000000000e+00 9.385655076191447961e+02 3.936523216754376359e-02 0.000000000000000000e+00 2.870750764227525398e+00 5.892199276861815804e-08 2.941697656911578147e-03 -1.283359802845027285e-05
4.000000000000000000e+00 8.869316255869822498e+02 3.413822407982341350e-02 0.000000000000000000e+00 2.693724601845796762e+00 6.791971721134170290e-08 2.868242887114248393e-03 -1.084442261542851256e-05
5.000000000000000000e+00 8.484665860884374524e+02 2.279840261998280354e-02 0.000000000000000000e+00 2.294388116689714430e+00 7.573264946189000879e-08 2.768779899894854672e-03 -7.370136892353784864e-06
6.000000000000000000e+00 8.221979229829635187e+02 1.275205613922938963e-02 0.000000000000000000e+00 1.847990147651445314e+00 8.256075079837805158e-08 2.662764643755887763e-03 -3.557142408893341398e-06
7.000000000000000000e+00 8.054648021590348890e+02 6.877130385001958661e-03 0.000000000000000000e+00 1.451490069017628670e+00 8.858069131975971042e-08 2.559557044507787277e-03 -2.803364420212139319e-07
8.000000000000000000e+00 7.953635256090908570e+02 4.416066767376807672e-03 0.000000000000000000e+00 1.147077795961018554e+00 9.391506477963101328e-08 2.459351134712227729e-03 1.902669726962374789e-06
9.000000000000000000e+00 7.905310499254143224e+02 3.527205487359953012e-03 0.000000000000000000e+00 9.401183257491027012e-01 9.866886091572782552e-08 2.360854981447132669e-03 2.794826785540948675e-06
1.000000000000000000e+01 7.895404862873477896e+02 2.995579136985044785e-03 0.000000000000000000e+00 8.228476557375915545e-01 1.029088033448754982e-07 2.265919895336778594e-03 2.576099688403523028e-06
1.100000000000000000e+01 7.910316790751182907e+02 2.511102216745828616e-03 0.000000000000000000e+00 7.782626353087777060e-01 1.067253774008643928e-07 2.178724926081745516e-03 1.682946148626970527e-06
1.200000000000000000e+01 7.956994201960020519e+02 2.186240886336519255e-03 0.000000000000000000e+00 7.878192166471174041e-01 1.101210646898554533e-07 2.098458567909552378e-03 5.709540390991022735e-07
1.300000000000000000e+01 8.016985730049349286e+02 2.092603835943710692e-03 0.000000000000000000e+00 8.282079782797630019e-01 1.131944675824590175e-07 2.027609527825252785e-03 -4.398310438661248184e-07
1.400000000000000000e+01 8.088497077117764320e+02 2.168888474699424192e-03 0.000000000000000000e+00 8.789281293713483434e-01 1.159352330844072802e-07 1.959080639142127874e-03 -1.159061640378275621e-06
1.500000000000000000e+01 8.161369156606862134e+02 2.333817914449711883e-03 0.000000000000000000e+00 9.329227202660238527e-01 1.184146844917781942e-07 1.893310314433157724e-03 -1.459890409524891739e-06
1.600000000000000000e+01 8.252658606296110975e+02 2.568190264989405561e-03 0.000000000000000000e+00 9.914901627398816641e-01 1.206363425307555487e-07 1.827750248073703020e-03 -1.282030089487061684e-06
1.700000000000000000e+01 8.360899381304268445e+02 2.914434888928082220e-03 0.000000000000000000e+00 1.052110531460021647e+00 1.226264393186731773e-07 1.764046499441937694e-03 -7.989380440564832583e-07
1.800000000000000000e+01 8.474949899792470660e+02 3.415841052426073221e-03 0.000000000000000000e+00 1.113642826476052505e+00 1.244183743286284576e-07 1.704693567177129011e-03 -2.414424888213944733e-07
1.900000000000000000e+01 8.602514118981924867e+02 4.075988851321500281e-03 0.000000000000000000e+00 1.179357053577548831e+00 1.260218477921568484e-07 1.649485620995008684e-03 1.496302722849628255e-07
2.000000000000000000e+01 8.727532155239059648e+02 4.872354560508052913e-03 0.000000000000000000e+00 1.244301292866788256e+00 1.274445008930132839e-07 1.597631317878221756e-03 2.032222288556517438e-07
2.100000000000000000e+01 8.856947717558608701e+02 5.798142517930916090e-03 0.000000000000000000e+00 1.313142376135890910e+00 1.287071301706138338e-07 1.548538331737484399e-03 2.822527961775279421e-08
2.200000000000000000e+01 8.991007308464916150e+02 6.863869067495209815e-03 0.000000000000000000e+00 1.386262109995663794e+00 1.298307240716865136e-07 1.501755678457794953e-03 -2.170498110380065576e-07
2.300000000000000000e+01 9.125849366009942969e+02 8.061285237611556798e-03 0.000000000000000000e+00 1.460809033883567976e+00 1.308236880837099241e-07 1.457133042018568308e-03 -4.477523332376903243e-07
2.400000000000000000e+01 9.264681042769772148e+02 9.387072721066055600e-03 0.000000000000000000e+00 1.533234168137767472e+00 1.316926105177773455e-07 1.414598834178190699e-03 -6.140444153507029134e-07
2.500000000000000000e+01 9.408847719236822513e+02 1.084549181825095535e-02 0.000000000000000000e+00 1.595974713722582372e+00 1.324483442921830355e-07 1.374063335455481339e-03 -7.314732577393679465e-07
2.600000000000000000e+01 9.553450339577507293e+02 1.244857193916658854e-02 0.000000000000000000e+00 1.652910765966900009e+00 1.331022500569481988e-07 1.335388898057878349e-03 -8.148869903949174119e-07
2.700000000000000000e+01 9.702564347817875614e+02 1.420720791521050581e-02 0.000000000000000000e+00 1.704751108099466839e+00 1.336631167927669025e-07 1.298240775477401679e-03 -8.123902822745747837e-07
