2	9.74284e+02	3.06497e-06	1.90480e-06	2.61103e-02
3	9.39795e+02	9.28363e-06	3.80986e-06	5.91361e-02
4	9.06279e+02	2.20975e-05	6.35062e-06	1.00798e-01
5	8.82566e+02	4.50212e-05	9.52824e-06	1.50342e-01
6	8.67513e+02	8.22037e-05	1.33432e-05	2.07054e-01
7	8.58982e+02	1.38409e-04	1.77961e-05	2.70242e-01
8	8.55015e+02	2.18910e-04	2.28879e-05	3.39170e-01
9	8.54785e+02	3.29433e-04	2.86205e-05	4.13242e-01
10	8.57179e+02	4.76065e-04	3.49952e-05	4.91556e-01
11	8.61385e+02	6.65763e-04	4.20129e-05	5.73524e-01
12	8.68664e+02	9.06018e-04	4.96749e-05	6.59814e-01
13	8.77007e+02	1.20183e-03	5.79830e-05	7.47303e-01
14	8.86153e+02	1.56017e-03	6.69388e-05	8.35567e-01
15	8.95176e+02	1.99069e-03	7.65438e-05	9.23269e-01
16	9.06072e+02	2.50551e-03	8.67994e-05	1.01434e+00
17	9.18739e+02	3.11109e-03	9.77073e-05	1.10609e+00
18	9.32029e+02	3.81348e-03	1.09269e-04	1.19653e+00
19	9.46661e+02	4.62956e-03	1.21486e-04	1.28847e+00
20	9.60997e+02	5.55953e-03	1.34361e-04	1.37611e+00
21	9.75779e+02	6.60647e-03	1.47894e-04	1.46125e+00
22	9.91082e+02	7.78927e-03	1.62087e-04	1.54232e+00
23	1.00650e+03	9.11494e-03	1.76942e-04	1.62018e+00
24	1.02232e+03	1.05936e-02	1.92460e-04	1.69571e+00
25	1.03868e+03	1.22293e-02	2.08643e-04	1.76270e+00
26	1.05511e+03	1.40323e-02	2.25491e-04	1.82550e+00
27	1.07201e+03	1.60199e-02	2.43006e-04	1.88458e+00
28	1.08921e+03	1.81903e-02	2.61190e-04	1.93466e+00
29	1.10664e+03	2.05546e-02	2.80043e-04	1.98039e+00
30	1.12448e+03	2.31261e-02	2.99566e-04	2.01441e+00
31	1.14213e+03	2.59046e-02	3.19760e-04	2.04511e+00
32	1.16041e+03	2.89160e-02	3.40627e-04	2.06564e+00
33	1.17879e+03	3.21380e-02	3.62166e-04	2.07678e+00
34	1.19724e+03	3.56087e-02	3.84379e-04	2.08221e+00
35	1.21633e+03	3.93183e-02	4.07266e-04	2.07265e+00
36	1.23517e+03	4.32755e-02	4.30828e-04	2.05752e+00
37	1.25428e+03	4.75021e-02	4.55065e-04	2.02998e+00
38	1.27377e+03	5.19896e-02	4.79977e-04	1.99132e+00
39	1.29356e+03	5.67408e-02	5.05565e-04	1.94185e+00
40	1.31354e+03	6.17645e-02	5.31830e-04	1.88066e+00
41	1.33364e+03	6.70694e-02	5.58770e-04	1.80715e+00
42	1.35384e+03	7.26631e-02	5.86386e-04	1.72214e+00
43	1.37417e+03	7.85531e-02	6.14678e-04	1.62639e+00
44	1.39467e+03	8.47446e-02	6.43646e-04	1.51903e+00
