#    L    TT             EE             BB             TE          
  4158    0.25011E+01    0.72818E-01    0.74670E-02   -0.95234E-01
  4159    0.24966E+01    0.72681E-01    0.74627E-02   -0.95111E-01
  4160    0.24922E+01    0.72545E-01    0.74584E-02   -0.94988E-01
  4161    0.24878E+01    0.72409E-01    0.74541E-02   -0.94866E-01
  4162    0.24834E+01    0.72272E-01    0.74498E-02   -0.94745E-01
  4163    0.24790E+01    0.72135E-01    0.74455E-02   -0.94624E-01
  4164    0.24746E+01    0.71998E-01    0.74412E-02   -0.94503E-01
  4165    0.24703E+01    0.71861E-01    0.74370E-02   -0.94384E-01
  4166    0.24660E+01    0.71723E-01    0.74327E-02   -0.94264E-01
  4167    0.24617E+01    0.71585E-01    0.74284E-02   -0.94145E-01
  4168    0.24574E+01    0.71448E-01    0.74241E-02   -0.94027E-01
  4169    0.24529E+01    0.71310E-01    0.74199E-02   -0.93909E-01
  4170    0.24489E+01    0.71173E-01    0.74156E-02   -0.93791E-01
  4171    0.24447E+01    0.71035E-01    0.74114E-02   -0.93673E-01
  4172    0.24404E+01    0.70897E-01    0.74071E-02   -0.93556E-01
  4173    0.24363E+01    0.70758E-01    0.74028E-02   -0.93439E-01
  4174    0.24321E+01    0.70620E-01    0.73986E-02   -0.93321E-01
  4175    0.24280E+01    0.70482E-01    0.73943E-02   -0.93205E-01
  4176    0.24239E+01    0.70344E-01    0.73901E-02   -0.93088E-01
  4177    0.24197E+01    0.70205E-01    0.73859E-02   -0.92972E-01
  4178    0.24157E+01    0.70067E-01    0.73816E-02   -0.92856E-01
  4179    0.24116E+01    0.69927E-01    0.73774E-02   -0.92739E-01
  4180    0.24075E+01    0.69788E-01    0.73732E-02   -0.92623E-01
  4181    0.24034E+01    0.69649E-01    0.73690E-02   -0.92506E-01
  4182    0.23994E+01    0.69509E-01    0.73647E-02   -0.92389E-01
  4183    0.23954E+01    0.69369E-01    0.73605E-02   -0.92272E-01
  4184    0.23913E+01    0.69230E-01    0.73563E-02   -0.92156E-01
  4185    0.23873E+01    0.69090E-01    0.73521E-02   -0.92039E-01
  4186    0.23833E+01    0.68950E-01    0.73479E-02   -0.91923E-01
  4187    0.23793E+01    0.68810E-01    0.73437E-02   -0.91806E-01
  4188    0.23754E+01    0.68671E-01    0.73395E-02   -0.91689E-01
  4189    0.23714E+01    0.68530E-01    0.73353E-02   -0.91572E-01
  4190    0.23675E+01    0.68390E-01    0.73312E-02   -0.91455E-01
  4191    0.23635E+01    0.68249E-01    0.73270E-02   -0.91336E-01
  4192    0.23596E+01    0.68109E-01    0.73228E-02   -0.91218E-01
  4193    0.23557E+01    0.67967E-01    0.73186E-02   -0.91100E-01
  4194    0.23518E+01    0.67826E-01    0.73145E-02   -0.90982E-01
  4195    0.23479E+01    0.67687E-01    0.73103E-02   -0.90863E-01
  4196    0.23440E+01    0.67547E-01    0.73062E-02   -0.90743E-01
  4197    0.23401E+01    0.67405E-01    0.73020E-02   -0.90624E-01
  4198    0.23362E+01    0.67265E-01    0.72979E-02   -0.90504E-01
  4199    0.23324E+01    0.67123E-01    0.72937E-02   -0.90383E-01
  4200    0.23286E+01    0.66982E-01    0.72896E-02   -0.90262E-01
  4201    0.23247E+01    0.66840E-01    0.72854E-02   -0.90140E-01
  4202    0.23209E+01    0.66700E-01    0.72813E-02   -0.90019E-01
  4203    0.23171E+01    0.66558E-01    0.72772E-02   -0.89896E-01
  4204    0.23133E+01    0.66417E-01    0.72731E-02   -0.89773E-01
  4205    0.23095E+01    0.66276E-01    0.72689E-02   -0.89650E-01
  4206    0.23057E+01    0.66134E-01    0.72648E-02   -0.89526E-01
  4207    0.23020E+01    0.65992E-01    0.72607E-02   -0.89402E-01
  4208    0.22982E+01    0.65851E-01    0.72566E-02   -0.89276E-01
  4209    0.22945E+01    0.65709E-01    0.72525E-02   -0.89150E-01
  4210    0.22908E+01    0.65568E-01    0.72484E-02   -0.89023E-01
  4211    0.22870E+01    0.65426E-01    0.72443E-02   -0.88898E-01
  4212    0.22833E+01    0.65284E-01    0.72402E-02   -0.88770E-01
  4213    0.22796E+01    0.65143E-01    0.72361E-02   -0.88641E-01
  4214    0.22760E+01    0.65001E-01    0.72320E-02   -0.88512E-01
  4215    0.22724E+01    0.64859E-01    0.72280E-02   -0.88383E-01
  4216    0.22688E+01    0.64718E-01    0.72239E-02   -0.88252E-01
  4217    0.22651E+01    0.64576E-01    0.72198E-02   -0.88122E-01
  4218    0.22615E+01    0.64435E-01    0.72157E-02   -0.87990E-01
  4219    0.22580E+01    0.64293E-01    0.72117E-02   -0.87858E-01
  4220    0.22543E+01    0.64151E-01    0.72076E-02   -0.87725E-01
  4221    0.22507E+01    0.64010E-01    0.72035E-02   -0.87590E-01
  4222    0.22472E+01    0.63869E-01    0.71995E-02   -0.87456E-01
  4223    0.22437E+01    0.63726E-01    0.71954E-02   -0.87322E-01
  4224    0.22401E+01    0.63585E-01    0.71914E-02   -0.87186E-01
  4225    0.22366E+01    0.63444E-01    0.71873E-02   -0.87050E-01
  4226    0.22332E+01    0.63303E-01    0.71833E-02   -0.86912E-01
  4227    0.22297E+01    0.63162E-01    0.71792E-02   -0.86774E-01
  4228    0.22261E+01    0.63021E-01    0.71752E-02   -0.86635E-01
  4229    0.22227E+01    0.62879E-01    0.71711E-02   -0.86496E-01
  4230    0.22192E+01    0.62738E-01    0.71671E-02   -0.86356E-01
  4231    0.22159E+01    0.62598E-01    0.71631E-02   -0.86215E-01
  4232    0.22123E+01    0.62457E-01    0.71591E-02   -0.86073E-01
  4233    0.22090E+01    0.62316E-01    0.71550E-02   -0.85931E-01
  4234    0.22056E+01    0.62176E-01    0.71510E-02   -0.85787E-01
  4235    0.22021E+01    0.62035E-01    0.71470E-02   -0.85642E-01
  4236    0.21988E+01    0.61894E-01    0.71430E-02   -0.85498E-01
  4237    0.21955E+01    0.61755E-01    0.71390E-02   -0.85352E-01
  4238    0.21921E+01    0.61615E-01    0.71350E-02   -0.85205E-01
  4239    0.21887E+01    0.61475E-01    0.71310E-02   -0.85058E-01
  4240    0.21854E+01    0.61336E-01    0.71270E-02   -0.84910E-01
  4241    0.21821E+01    0.61196E-01    0.71230E-02   -0.84761E-01
  4242    0.21787E+01    0.61057E-01    0.71190E-02   -0.84611E-01
  4243    0.21753E+01    0.60916E-01    0.71150E-02   -0.84461E-01
  4244    0.21720E+01    0.60778E-01    0.71111E-02   -0.84310E-01
  4245    0.21687E+01    0.60639E-01    0.71071E-02   -0.84159E-01
  4246    0.21654E+01    0.60500E-01    0.71031E-02   -0.84006E-01
  4247    0.21620E+01    0.60361E-01    0.70991E-02   -0.83853E-01
  4248    0.21586E+01    0.60223E-01    0.70952E-02   -0.83699E-01
  4249    0.21554E+01    0.60084E-01    0.70912E-02   -0.83545E-01
  4250    0.21520E+01    0.59946E-01    0.70873E-02   -0.83390E-01
  4251    0.21488E+01    0.59809E-01    0.70833E-02   -0.83233E-01
  4252    0.21454E+01    0.59672E-01    0.70794E-02   -0.83076E-01
  4253    0.21421E+01    0.59534E-01    0.70754E-02   -0.82919E-01
  4254    0.21389E+01    0.59397E-01    0.70715E-02   -0.82761E-01
  4255    0.21355E+01    0.59261E-01    0.70676E-02   -0.82602E-01
  4256    0.21322E+01    0.59125E-01    0.70636E-02   -0.82442E-01
  4257    0.21289E+01    0.58988E-01    0.70597E-02   -0.82282E-01
  4258    0.21257E+01    0.58852E-01    0.70558E-02   -0.82121E-01
  4259    0.21223E+01    0.58716E-01    0.70519E-02   -0.81959E-01
  4260    0.21189E+01    0.58581E-01    0.70480E-02   -0.81796E-01
  4261    0.21157E+01    0.58446E-01    0.70441E-02   -0.81633E-01
  4262    0.21124E+01    0.58310E-01    0.70401E-02   -0.81470E-01
  4263    0.21091E+01    0.58176E-01    0.70362E-02   -0.81305E-01
  4264    0.21058E+01    0.58041E-01    0.70323E-02   -0.81141E-01
  4265    0.21026E+01    0.57908E-01    0.70285E-02   -0.80975E-01
  4266    0.20994E+01    0.57774E-01    0.70246E-02   -0.80808E-01
  4267    0.20961E+01    0.57640E-01    0.70207E-02   -0.80642E-01
  4268    0.20929E+01    0.57507E-01    0.70168E-02   -0.80475E-01
  4269    0.20896E+01    0.57374E-01    0.70129E-02   -0.80307E-01
  4270    0.20864E+01    0.57241E-01    0.70090E-02   -0.80139E-01
  4271    0.20833E+01    0.57108E-01    0.70052E-02   -0.79970E-01
  4272    0.20800E+01    0.56975E-01    0.70013E-02   -0.79800E-01
  4273    0.20768E+01    0.56845E-01    0.69974E-02   -0.79629E-01
  4274    0.20737E+01    0.56714E-01    0.69935E-02   -0.79460E-01
  4275    0.20705E+01    0.56583E-01    0.69897E-02   -0.79288E-01
  4276    0.20674E+01    0.56453E-01    0.69858E-02   -0.79116E-01
  4277    0.20642E+01    0.56323E-01    0.69820E-02   -0.78945E-01
  4278    0.20610E+01    0.56193E-01    0.69781E-02   -0.78773E-01
  4279    0.20579E+01    0.56063E-01    0.69743E-02   -0.78600E-01
  4280    0.20548E+01    0.55934E-01    0.69704E-02   -0.78426E-01
  4281    0.20517E+01    0.55807E-01    0.69666E-02   -0.78253E-01
  4282    0.20485E+01    0.55679E-01    0.69627E-02   -0.78079E-01
  4283    0.20454E+01    0.55551E-01    0.69589E-02   -0.77905E-01
  4284    0.20424E+01    0.55423E-01    0.69550E-02   -0.77730E-01
  4285    0.20394E+01    0.55296E-01    0.69512E-02   -0.77555E-01
  4286    0.20362E+01    0.55168E-01    0.69474E-02   -0.77380E-01
  4287    0.20332E+01    0.55042E-01    0.69436E-02   -0.77203E-01
  4288    0.20302E+01    0.54916E-01    0.69397E-02   -0.77027E-01
  4289    0.20271E+01    0.54790E-01    0.69359E-02   -0.76850E-01
  4290    0.20241E+01    0.54665E-01    0.69321E-02   -0.76674E-01
  4291    0.20211E+01    0.54540E-01    0.69283E-02   -0.76496E-01
  4292    0.20181E+01    0.54416E-01    0.69245E-02   -0.76320E-01
  4293    0.20151E+01    0.54292E-01    0.69206E-02   -0.76142E-01
  4294    0.20121E+01    0.54169E-01    0.69168E-02   -0.75965E-01
  4295    0.20091E+01    0.54046E-01    0.69130E-02   -0.75788E-01
  4296    0.20062E+01    0.53923E-01    0.69092E-02   -0.75609E-01
  4297    0.20032E+01    0.53801E-01    0.69054E-02   -0.75430E-01
  4298    0.20003E+01    0.53679E-01    0.69016E-02   -0.75253E-01
  4299    0.19972E+01    0.53558E-01    0.68978E-02   -0.75074E-01
  4300    0.19943E+01    0.53437E-01    0.68941E-02   -0.74895E-01
  4301    0.19913E+01    0.53316E-01    0.68903E-02   -0.74717E-01
  4302    0.19884E+01    0.53196E-01    0.68865E-02   -0.74538E-01
  4303    0.19854E+01    0.53077E-01    0.68827E-02   -0.74359E-01
  4304    0.19825E+01    0.52958E-01    0.68790E-02   -0.74181E-01
  4305    0.19795E+01    0.52838E-01    0.68752E-02   -0.74001E-01
  4306    0.19765E+01    0.52721E-01    0.68714E-02   -0.73822E-01
  4307    0.19736E+01    0.52603E-01    0.68677E-02   -0.73643E-01
  4308    0.19706E+01    0.52486E-01    0.68639E-02   -0.73465E-01
  4309    0.19676E+01    0.52368E-01    0.68602E-02   -0.73285E-01
  4310    0.19647E+01    0.52252E-01    0.68564E-02   -0.73106E-01
  4311    0.19617E+01    0.52136E-01    0.68527E-02   -0.72928E-01
  4312    0.19587E+01    0.52021E-01    0.68489E-02   -0.72750E-01
  4313    0.19558E+01    0.51905E-01    0.68452E-02   -0.72571E-01
  4314    0.19528E+01    0.51791E-01    0.68415E-02   -0.72394E-01
  4315    0.19498E+01    0.51677E-01    0.68377E-02   -0.72216E-01
  4316    0.19468E+01    0.51564E-01    0.68340E-02   -0.72039E-01
  4317    0.19437E+01    0.51449E-01    0.68303E-02   -0.71861E-01
  4318    0.19407E+01    0.51336E-01    0.68266E-02   -0.71682E-01
  4319    0.19378E+01    0.51223E-01    0.68229E-02   -0.71505E-01
  4320    0.19348E+01    0.51112E-01    0.68192E-02   -0.71328E-01
  4321    0.19318E+01    0.51001E-01    0.68155E-02   -0.71151E-01
  4322    0.19288E+01    0.50892E-01    0.68118E-02   -0.70974E-01
  4323    0.19258E+01    0.50781E-01    0.68081E-02   -0.70799E-01
  4324    0.19228E+01    0.50671E-01    0.68044E-02   -0.70623E-01
  4325    0.19198E+01    0.50562E-01    0.68007E-02   -0.70447E-01
  4326    0.19168E+01    0.50453E-01    0.67970E-02   -0.70271E-01
  4327    0.19138E+01    0.50345E-01    0.67933E-02   -0.70097E-01
  4328    0.19109E+01    0.50237E-01    0.67897E-02   -0.69921E-01
  4329    0.19078E+01    0.50129E-01    0.67860E-02   -0.69747E-01
  4330    0.19050E+01    0.50022E-01    0.67823E-02   -0.69575E-01
  4331    0.19019E+01    0.49915E-01    0.67786E-02   -0.69402E-01
  4332    0.18989E+01    0.49810E-01    0.67750E-02   -0.69229E-01
  4333    0.18960E+01    0.49703E-01    0.67713E-02   -0.69055E-01
  4334    0.18930E+01    0.49598E-01    0.67677E-02   -0.68883E-01
  4335    0.18900E+01    0.49493E-01    0.67640E-02   -0.68711E-01
  4336    0.18871E+01    0.49389E-01    0.67603E-02   -0.68537E-01
  4337    0.18842E+01    0.49285E-01    0.67567E-02   -0.68367E-01
  4338    0.18812E+01    0.49181E-01    0.67530E-02   -0.68196E-01
  4339    0.18784E+01    0.49077E-01    0.67494E-02   -0.68025E-01
  4340    0.18755E+01    0.48976E-01    0.67458E-02   -0.67855E-01
  4341    0.18725E+01    0.48874E-01    0.67421E-02   -0.67687E-01
  4342    0.18697E+01    0.48773E-01    0.67385E-02   -0.67517E-01
  4343    0.18669E+01    0.48672E-01    0.67348E-02   -0.67349E-01
  4344    0.18640E+01    0.48571E-01    0.67312E-02   -0.67181E-01
  4345    0.18612E+01    0.48471E-01    0.67276E-02   -0.67013E-01
  4346    0.18584E+01    0.48372E-01    0.67239E-02   -0.66847E-01
  4347    0.18555E+01    0.48272E-01    0.67203E-02   -0.66681E-01
  4348    0.18528E+01    0.48174E-01    0.67167E-02   -0.66515E-01
  4349    0.18500E+01    0.48075E-01    0.67131E-02   -0.66350E-01
  4350    0.18473E+01    0.47977E-01    0.67094E-02   -0.66185E-01
  4351    0.18446E+01    0.47879E-01    0.67058E-02   -0.66021E-01
  4352    0.18420E+01    0.47782E-01    0.67022E-02   -0.65858E-01
  4353    0.18392E+01    0.47686E-01    0.66986E-02   -0.65694E-01
  4354    0.18364E+01    0.47589E-01    0.66950E-02   -0.65533E-01
  4355    0.18336E+01    0.47494E-01    0.66914E-02   -0.65372E-01
  4356    0.18309E+01    0.47398E-01    0.66878E-02   -0.65210E-01
  4357    0.18282E+01    0.47304E-01    0.66842E-02   -0.65050E-01
  4358    0.18256E+01    0.47209E-01    0.66806E-02   -0.64890E-01
  4359    0.18229E+01    0.47115E-01    0.66770E-02   -0.64731E-01
  4360    0.18203E+01    0.47021E-01    0.66734E-02   -0.64573E-01
  4361    0.18176E+01    0.46929E-01    0.66698E-02   -0.64416E-01
  4362    0.18150E+01    0.46836E-01    0.66662E-02   -0.64259E-01
  4363    0.18123E+01    0.46744E-01    0.66626E-02   -0.64103E-01
  4364    0.18096E+01    0.46652E-01    0.66590E-02   -0.63948E-01
  4365    0.18069E+01    0.46560E-01    0.66554E-02   -0.63793E-01
  4366    0.18043E+01    0.46471E-01    0.66519E-02   -0.63638E-01
  4367    0.18016E+01    0.46381E-01    0.66483E-02   -0.63485E-01
  4368    0.17989E+01    0.46290E-01    0.66447E-02   -0.63333E-01
  4369    0.17963E+01    0.46201E-01    0.66412E-02   -0.63182E-01
  4370    0.17937E+01    0.46111E-01    0.66376E-02   -0.63031E-01
  4371    0.17911E+01    0.46020E-01    0.66340E-02   -0.62880E-01
  4372    0.17884E+01    0.45932E-01    0.66305E-02   -0.62731E-01
  4373    0.17857E+01    0.45843E-01    0.66269E-02   -0.62583E-01
  4374    0.17830E+01    0.45755E-01    0.66234E-02   -0.62435E-01
  4375    0.17803E+01    0.45667E-01    0.66199E-02   -0.62289E-01
  4376    0.17777E+01    0.45580E-01    0.66163E-02   -0.62142E-01
  4377    0.17749E+01    0.45493E-01    0.66128E-02   -0.61997E-01
  4378    0.17723E+01    0.45407E-01    0.66093E-02   -0.61853E-01
  4379    0.17696E+01    0.45321E-01    0.66057E-02   -0.61710E-01
  4380    0.17670E+01    0.45235E-01    0.66022E-02   -0.61566E-01
  4381    0.17642E+01    0.45150E-01    0.65987E-02   -0.61425E-01
  4382    0.17615E+01    0.45065E-01    0.65952E-02   -0.61283E-01
  4383    0.17588E+01    0.44980E-01    0.65917E-02   -0.61144E-01
  4384    0.17561E+01    0.44896E-01    0.65882E-02   -0.61004E-01
  4385    0.17534E+01    0.44812E-01    0.65847E-02   -0.60865E-01
  4386    0.17507E+01    0.44729E-01    0.65812E-02   -0.60728E-01
  4387    0.17480E+01    0.44646E-01    0.65777E-02   -0.60590E-01
  4388    0.17452E+01    0.44562E-01    0.65742E-02   -0.60454E-01
  4389    0.17425E+01    0.44480E-01    0.65707E-02   -0.60319E-01
  4390    0.17398E+01    0.44398E-01    0.65673E-02   -0.60184E-01
  4391    0.17371E+01    0.44316E-01    0.65638E-02   -0.60051E-01
  4392    0.17344E+01    0.44234E-01    0.65603E-02   -0.59918E-01
  4393    0.17317E+01    0.44153E-01    0.65568E-02   -0.59786E-01
  4394    0.17289E+01    0.44072E-01    0.65534E-02   -0.59655E-01
  4395    0.17263E+01    0.43992E-01    0.65499E-02   -0.59524E-01
  4396    0.17235E+01    0.43912E-01    0.65464E-02   -0.59396E-01
  4397    0.17208E+01    0.43832E-01    0.65430E-02   -0.59267E-01
  4398    0.17181E+01    0.43752E-01    0.65395E-02   -0.59139E-01
  4399    0.17155E+01    0.43672E-01    0.65361E-02   -0.59011E-01
  4400    0.17128E+01    0.43593E-01    0.65326E-02   -0.58885E-01
  4401    0.17101E+01    0.43514E-01    0.65292E-02   -0.58760E-01
  4402    0.17075E+01    0.43436E-01    0.65257E-02   -0.58635E-01
  4403    0.17049E+01    0.43357E-01    0.65223E-02   -0.58511E-01
  4404    0.17023E+01    0.43280E-01    0.65189E-02   -0.58387E-01
  4405    0.16997E+01    0.43202E-01    0.65154E-02   -0.58264E-01
  4406    0.16971E+01    0.43124E-01    0.65120E-02   -0.58143E-01
  4407    0.16946E+01    0.43046E-01    0.65085E-02   -0.58022E-01
  4408    0.16920E+01    0.42970E-01    0.65051E-02   -0.57901E-01
  4409    0.16895E+01    0.42893E-01    0.65017E-02   -0.57781E-01
  4410    0.16870E+01    0.42816E-01    0.64982E-02   -0.57663E-01
  4411    0.16845E+01    0.42740E-01    0.64948E-02   -0.57545E-01
  4412    0.16820E+01    0.42664E-01    0.64914E-02   -0.57428E-01
  4413    0.16795E+01    0.42588E-01    0.64879E-02   -0.57311E-01
  4414    0.16771E+01    0.42512E-01    0.64845E-02   -0.57195E-01
  4415    0.16747E+01    0.42437E-01    0.64811E-02   -0.57080E-01
  4416    0.16723E+01    0.42362E-01    0.64777E-02   -0.56965E-01
  4417    0.16698E+01    0.42288E-01    0.64743E-02   -0.56851E-01
  4418    0.16675E+01    0.42212E-01    0.64708E-02   -0.56738E-01
  4419    0.16651E+01    0.42138E-01    0.64674E-02   -0.56626E-01
  4420    0.16627E+01    0.42064E-01    0.64640E-02   -0.56514E-01
  4421    0.16604E+01    0.41991E-01    0.64606E-02   -0.56401E-01
  4422    0.16580E+01    0.41916E-01    0.64572E-02   -0.56290E-01
  4423    0.16557E+01    0.41843E-01    0.64538E-02   -0.56181E-01
  4424    0.16534E+01    0.41769E-01    0.64504E-02   -0.56072E-01
  4425    0.16511E+01    0.41696E-01    0.64470E-02   -0.55965E-01
  4426    0.16488E+01    0.41623E-01    0.64436E-02   -0.55858E-01
  4427    0.16465E+01    0.41550E-01    0.64402E-02   -0.55751E-01
  4428    0.16442E+01    0.41477E-01    0.64368E-02   -0.55644E-01
  4429    0.16419E+01    0.41405E-01    0.64334E-02   -0.55537E-01
  4430    0.16396E+01    0.41332E-01    0.64300E-02   -0.55433E-01
  4431    0.16373E+01    0.41260E-01    0.64266E-02   -0.55329E-01
  4432    0.16350E+01    0.41189E-01    0.64232E-02   -0.55225E-01
  4433    0.16327E+01    0.41116E-01    0.64199E-02   -0.55122E-01
  4434    0.16305E+01    0.41045E-01    0.64165E-02   -0.55019E-01
  4435    0.16282E+01    0.40973E-01    0.64131E-02   -0.54918E-01
  4436    0.16259E+01    0.40903E-01    0.64098E-02   -0.54817E-01
  4437    0.16236E+01    0.40831E-01    0.64064E-02   -0.54716E-01
  4438    0.16213E+01    0.40760E-01    0.64031E-02   -0.54616E-01
  4439    0.16190E+01    0.40689E-01    0.63997E-02   -0.54517E-01
  4440    0.16167E+01    0.40619E-01    0.63964E-02   -0.54418E-01
  4441    0.16143E+01    0.40549E-01    0.63930E-02   -0.54320E-01
  4442    0.16120E+01    0.40479E-01    0.63897E-02   -0.54222E-01
  4443    0.16097E+01    0.40408E-01    0.63863E-02   -0.54125E-01
  4444    0.16073E+01    0.40339E-01    0.63830E-02   -0.54028E-01
  4445    0.16050E+01    0.40269E-01    0.63797E-02   -0.53932E-01
  4446    0.16027E+01    0.40198E-01    0.63764E-02   -0.53838E-01
  4447    0.16003E+01    0.40129E-01    0.63730E-02   -0.53743E-01
  4448    0.15979E+01    0.40059E-01    0.63697E-02   -0.53650E-01
  4449    0.15956E+01    0.39990E-01    0.63664E-02   -0.53556E-01
  4450    0.15932E+01    0.39921E-01    0.63631E-02   -0.53463E-01
  4451    0.15908E+01    0.39851E-01    0.63598E-02   -0.53370E-01
  4452    0.15884E+01    0.39782E-01    0.63565E-02   -0.53279E-01
  4453    0.15861E+01    0.39713E-01    0.63532E-02   -0.53187E-01
  4454    0.15837E+01    0.39645E-01    0.63499E-02   -0.53096E-01
  4455    0.15813E+01    0.39575E-01    0.63466E-02   -0.53007E-01
  4456    0.15789E+01    0.39506E-01    0.63433E-02   -0.52917E-01
  4457    0.15766E+01    0.39438E-01    0.63401E-02   -0.52827E-01
  4458    0.15742E+01    0.39370E-01    0.63368E-02   -0.52738E-01
  4459    0.15718E+01    0.39302E-01    0.63335E-02   -0.52650E-01
  4460    0.15694E+01    0.39234E-01    0.63302E-02   -0.52562E-01
  4461    0.15671E+01    0.39166E-01    0.63270E-02   -0.52475E-01
  4462    0.15647E+01    0.39098E-01    0.63237E-02   -0.52387E-01
  4463    0.15624E+01    0.39030E-01    0.63204E-02   -0.52300E-01
  4464    0.15600E+01    0.38963E-01    0.63172E-02   -0.52213E-01
  4465    0.15577E+01    0.38894E-01    0.63139E-02   -0.52126E-01
  4466    0.15554E+01    0.38827E-01    0.63107E-02   -0.52040E-01
  4467    0.15531E+01    0.38759E-01    0.63074E-02   -0.51955E-01
  4468    0.15508E+01    0.38692E-01    0.63042E-02   -0.51869E-01
  4469    0.15485E+01    0.38624E-01    0.63009E-02   -0.51784E-01
  4470    0.15463E+01    0.38556E-01    0.62976E-02   -0.51700E-01
  4471    0.15440E+01    0.38490E-01    0.62944E-02   -0.51614E-01
  4472    0.15418E+01    0.38422E-01    0.62911E-02   -0.51530E-01
  4473    0.15396E+01    0.38355E-01    0.62879E-02   -0.51446E-01
  4474    0.15374E+01    0.38288E-01    0.62847E-02   -0.51362E-01
  4475    0.15352E+01    0.38221E-01    0.62814E-02   -0.51279E-01
  4476    0.15331E+01    0.38154E-01    0.62782E-02   -0.51195E-01
  4477    0.15309E+01    0.38088E-01    0.62749E-02   -0.51112E-01
  4478    0.15288E+01    0.38021E-01    0.62717E-02   -0.51029E-01
  4479    0.15267E+01    0.37955E-01    0.62684E-02   -0.50946E-01
  4480    0.15246E+01    0.37888E-01    0.62652E-02   -0.50863E-01
  4481    0.15225E+01    0.37821E-01    0.62620E-02   -0.50781E-01
  4482    0.15205E+01    0.37755E-01    0.62587E-02   -0.50697E-01
  4483    0.15184E+01    0.37688E-01    0.62555E-02   -0.50616E-01
  4484    0.15164E+01    0.37621E-01    0.62523E-02   -0.50533E-01
  4485    0.15144E+01    0.37553E-01    0.62490E-02   -0.50452E-01
  4486    0.15124E+01    0.37487E-01    0.62458E-02   -0.50369E-01
  4487    0.15104E+01    0.37421E-01    0.62426E-02   -0.50287E-01
  4488    0.15084E+01    0.37355E-01    0.62394E-02   -0.50206E-01
  4489    0.15065E+01    0.37289E-01    0.62361E-02   -0.50125E-01
  4490    0.15045E+01    0.37224E-01    0.62329E-02   -0.50043E-01
  4491    0.15025E+01    0.37159E-01    0.62297E-02   -0.49961E-01
  4492    0.15006E+01    0.37093E-01    0.62265E-02   -0.49880E-01
  4493    0.14987E+01    0.37027E-01    0.62233E-02   -0.49799E-01
  4494    0.14967E+01    0.36960E-01    0.62201E-02   -0.49718E-01
  4495    0.14948E+01    0.36895E-01    0.62169E-02   -0.49638E-01
  4496    0.14928E+01    0.36830E-01    0.62137E-02   -0.49557E-01
  4497    0.14909E+01    0.36763E-01    0.62105E-02   -0.49476E-01
  4498    0.14890E+01    0.36698E-01    0.62073E-02   -0.49396E-01
  4499    0.14870E+01    0.36632E-01    0.62041E-02   -0.49314E-01
  4500    0.14851E+01    0.36567E-01    0.62009E-02   -0.49234E-01
  4501    0.14832E+01    0.36501E-01    0.61977E-02   -0.49154E-01
  4502    0.14812E+01    0.36435E-01    0.61945E-02   -0.49073E-01
  4503    0.14793E+01    0.36370E-01    0.61913E-02   -0.48994E-01
  4504    0.14773E+01    0.36305E-01    0.61881E-02   -0.48914E-01
  4505    0.14753E+01    0.36239E-01    0.61850E-02   -0.48834E-01
  4506    0.14734E+01    0.36174E-01    0.61818E-02   -0.48755E-01
  4507    0.14714E+01    0.36109E-01    0.61786E-02   -0.48675E-01
  4508    0.14694E+01    0.36044E-01    0.61755E-02   -0.48595E-01
  4509    0.14674E+01    0.35980E-01    0.61723E-02   -0.48516E-01
  4510    0.14654E+01    0.35914E-01    0.61692E-02   -0.48436E-01
  4511    0.14633E+01    0.35849E-01    0.61660E-02   -0.48356E-01
  4512    0.14613E+01    0.35785E-01    0.61629E-02   -0.48277E-01
  4513    0.14593E+01    0.35720E-01    0.61598E-02   -0.48197E-01
  4514    0.14572E+01    0.35655E-01    0.61566E-02   -0.48118E-01
  4515    0.14552E+01    0.35591E-01    0.61535E-02   -0.48039E-01
  4516    0.14531E+01    0.35526E-01    0.61504E-02   -0.47959E-01
  4517    0.14510E+01    0.35461E-01    0.61472E-02   -0.47880E-01
  4518    0.14490E+01    0.35397E-01    0.61441E-02   -0.47801E-01
  4519    0.14469E+01    0.35333E-01    0.61410E-02   -0.47720E-01
  4520    0.14448E+01    0.35268E-01    0.61379E-02   -0.47642E-01
  4521    0.14427E+01    0.35205E-01    0.61348E-02   -0.47563E-01
  4522    0.14406E+01    0.35140E-01    0.61317E-02   -0.47483E-01
  4523    0.14386E+01    0.35076E-01    0.61286E-02   -0.47404E-01
  4524    0.14365E+01    0.35012E-01    0.61255E-02   -0.47324E-01
  4525    0.14344E+01    0.34947E-01    0.61224E-02   -0.47245E-01
  4526    0.14323E+01    0.34884E-01    0.61193E-02   -0.47165E-01
  4527    0.14302E+01    0.34820E-01    0.61162E-02   -0.47085E-01
  4528    0.14282E+01    0.34756E-01    0.61131E-02   -0.47006E-01
  4529    0.14261E+01    0.34692E-01    0.61100E-02   -0.46926E-01
  4530    0.14241E+01    0.34627E-01    0.61070E-02   -0.46846E-01
  4531    0.14220E+01    0.34564E-01    0.61039E-02   -0.46767E-01
  4532    0.14200E+01    0.34501E-01    0.61008E-02   -0.46686E-01
  4533    0.14179E+01    0.34436E-01    0.60977E-02   -0.46605E-01
  4534    0.14159E+01    0.34373E-01    0.60946E-02   -0.46526E-01
