#    L    TT             EE             BB             TE          
    91    0.24116E+04    0.61447E+00    0.23355E-02   -0.17199E+02
    92    0.24409E+04    0.62929E+00    0.23876E-02   -0.17818E+02
    93    0.24705E+04    0.64407E+00    0.24402E-02   -0.18442E+02
    94    0.25002E+04    0.65879E+00    0.24935E-02   -0.19069E+02
    95    0.25302E+04    0.67344E+00    0.25474E-02   -0.19701E+02
    96    0.25601E+04    0.68801E+00    0.26020E-02   -0.20336E+02
    97    0.25905E+04    0.70249E+00    0.26572E-02   -0.20973E+02
    98    0.26212E+04    0.71686E+00    0.27130E-02   -0.21611E+02
    99    0.26518E+04    0.73110E+00    0.27694E-02   -0.22252E+02
   100    0.26828E+04    0.74520E+00    0.28265E-02   -0.22892E+02
   101    0.27139E+04    0.75922E+00    0.28843E-02   -0.23534E+02
   102    0.27456E+04    0.77301E+00    0.29427E-02   -0.24176E+02
   103    0.27771E+04    0.78665E+00    0.30017E-02   -0.24818E+02
   104    0.28089E+04    0.80015E+00    0.30614E-02   -0.25457E+02
   105    0.28408E+04    0.81341E+00    0.31218E-02   -0.26095E+02
   106    0.28730E+04    0.82653E+00    0.31828E-02   -0.26732E+02
   107    0.29050E+04    0.83936E+00    0.32445E-02   -0.27365E+02
   108    0.29374E+04    0.85196E+00    0.33068E-02   -0.27996E+02
   109    0.29700E+04    0.86426E+00    0.33699E-02   -0.28622E+02
   110    0.30027E+04    0.87627E+00    0.34336E-02   -0.29244E+02
   111    0.30355E+04    0.88806E+00    0.34980E-02   -0.29861E+02
   112    0.30684E+04    0.89956E+00    0.35631E-02   -0.30473E+02
   113    0.31016E+04    0.91076E+00    0.36288E-02   -0.31079E+02
   114    0.31349E+04    0.92159E+00    0.36953E-02   -0.31678E+02
   115    0.31683E+04    0.93221E+00    0.37624E-02   -0.32270E+02
   116    0.32018E+04    0.94238E+00    0.38303E-02   -0.32855E+02
   117    0.32355E+04    0.95219E+00    0.38988E-02   -0.33430E+02
   118    0.32694E+04    0.96177E+00    0.39681E-02   -0.33998E+02
   119    0.33033E+04    0.97100E+00    0.40381E-02   -0.34556E+02
   120    0.33373E+04    0.97970E+00    0.41087E-02   -0.35104E+02
   121    0.33713E+04    0.98819E+00    0.41802E-02   -0.35641E+02
   122    0.34053E+04    0.99617E+00    0.42523E-02   -0.36168E+02
   123    0.34394E+04    0.10037E+01    0.43252E-02   -0.36684E+02
   124    0.34736E+04    0.10109E+01    0.43988E-02   -0.37186E+02
   125    0.35077E+04    0.10176E+01    0.44731E-02   -0.37676E+02
   126    0.35419E+04    0.10240E+01    0.45482E-02   -0.38154E+02
   127    0.35761E+04    0.10299E+01    0.46241E-02   -0.38618E+02
   128    0.36102E+04    0.10353E+01    0.47007E-02   -0.39069E+02
   129    0.36444E+04    0.10403E+01    0.47781E-02   -0.39505E+02
   130    0.36785E+04    0.10448E+01    0.48562E-02   -0.39925E+02
   131    0.37127E+04    0.10489E+01    0.49351E-02   -0.40332E+02
   132    0.37468E+04    0.10525E+01    0.50148E-02   -0.40721E+02
   133    0.37809E+04    0.10557E+01    0.50953E-02   -0.41096E+02
   134    0.38149E+04    0.10584E+01    0.51766E-02   -0.41452E+02
   135    0.38490E+04    0.10607E+01    0.52587E-02   -0.41792E+02
   136    0.38828E+04    0.10624E+01    0.53416E-02   -0.42112E+02
